legacy_mode_id	v6_id	category_raw	category	status	candidate_target
	M-SHF-001	写作方法论·自传书写	文艺审美	new_rebuild_no_legacy_raw	
	M-SHF-002	审美转化·童心与创造	文艺审美	new_rebuild_no_legacy_raw	
	M-SHF-003	独立判断·审美自主	认识论逻辑	new_rebuild_no_legacy_raw	
	M-SHF-004	生活治理·约束下的雅洁	方法论通用	new_rebuild_no_legacy_raw	
	M-SHF-005	幸福观·价值选择	伦理修养	new_rebuild_no_legacy_raw	
	M-SHF-006	情感判断·审美偏好	心理洞察	new_rebuild_no_legacy_raw	
	M-SHF-007	亲密关系·伙伴关系	伦理修养	new_rebuild_no_legacy_raw	
	M-SHF-008	自我认知·逆境归因	心理洞察	new_rebuild_no_legacy_raw	
	M-SHF-009	审美经营·技艺	文艺审美	new_rebuild_no_legacy_raw	
	M-SHF-010	观察方法·行旅	方法论通用	new_rebuild_no_legacy_raw	
